query,condition,knn_score,time,visited_objects
296166,500,0.06666666666666667,0.18900585174560547,677
296166,1000,0.13333333333333333,0.21590471267700195,1039
296166,3000,0.16666666666666666,0.29888319969177246,3087
296166,5000,0.16666666666666666,0.4490780830383301,5008
296166,10000,0.3333333333333333,0.5104994773864746,10031
296166,50000,0.5666666666666667,1.418600082397461,50050
296166,100000,0.7666666666666667,2.2579946517944336,100141
296166,200000,0.8333333333333334,3.3309671878814697,200103
296166,300000,0.8333333333333334,4.633215665817261,300077
296166,500000,0.9333333333333333,6.823358058929443,500164
551155,500,0.16666666666666666,0.18401622772216797,537
551155,1000,0.2,0.1843888759613037,1061
551155,3000,0.2,0.27108025550842285,3131
551155,5000,0.2,0.299450159072876,5048
551155,10000,0.23333333333333334,0.5060672760009766,10082
551155,50000,0.5,1.402780294418335,50038
551155,100000,0.7333333333333333,2.2996959686279297,100181
551155,200000,0.9666666666666667,3.9406888484954834,200012
551155,300000,0.9666666666666667,5.310325622558594,300065
551155,500000,1.0,7.444417715072632,500150
557192,500,0.13333333333333333,0.16359376907348633,666
557192,1000,0.26666666666666666,0.28644537925720215,1073
557192,3000,0.36666666666666664,0.34561634063720703,3061
557192,5000,0.4,0.4318983554840088,5078
557192,10000,0.43333333333333335,0.6124019622802734,10029
557192,50000,0.7333333333333333,1.4361658096313477,50139
557192,100000,0.9,2.0866198539733887,100048
557192,200000,0.9333333333333333,3.1511342525482178,200141
557192,300000,1.0,4.30048131942749,300007
557192,500000,1.0,6.733646392822266,500122
565691,500,0.03333333333333333,0.18449640274047852,513
565691,1000,0.16666666666666666,0.27185845375061035,1183
565691,3000,0.4,0.35474514961242676,3135
565691,5000,0.5,0.38327598571777344,5029
565691,10000,0.6,0.49459195137023926,10096
565691,50000,0.8,1.069751501083374,50003
565691,100000,0.8,1.6221725940704346,100060
565691,200000,0.9333333333333333,3.176027297973633,200048
565691,300000,0.9666666666666667,4.476670026779175,300179
565691,500000,1.0,6.615225791931152,500049
597668,500,0.03333333333333333,0.1881113052368164,522
597668,1000,0.06666666666666667,0.2163255214691162,1003
597668,3000,0.3333333333333333,0.27405595779418945,3076
597668,5000,0.43333333333333335,0.36168599128723145,5025
597668,10000,0.4666666666666667,0.4808652400970459,10099
597668,50000,0.7333333333333333,1.3144288063049316,50037
597668,100000,0.8333333333333334,2.040557384490967,100056
597668,200000,0.9333333333333333,3.121039628982544,200016
597668,300000,0.9333333333333333,4.382222414016724,300069
597668,500000,1.0,7.211843967437744,500026
887357,500,0.03333333333333333,0.1858198642730713,600
887357,1000,0.06666666666666667,0.2136366367340088,1018
887357,3000,0.16666666666666666,0.3294351100921631,3019
887357,5000,0.2,0.48159027099609375,5002
887357,10000,0.36666666666666664,0.6867516040802002,10064
887357,50000,0.4666666666666667,1.3170058727264404,50167
887357,100000,0.7,2.1654937267303467,100078
887357,200000,0.8666666666666667,3.614206552505493,200004
887357,300000,0.9333333333333333,4.955467939376831,300114
887357,500000,1.0,7.319549083709717,500085
930954,500,0.4666666666666667,0.18891119956970215,530
930954,1000,0.7,0.21803641319274902,1072
930954,3000,0.7,0.2766590118408203,3052
930954,5000,0.7,0.3070223331451416,5071
930954,10000,0.8333333333333334,0.39812231063842773,10112
930954,50000,0.9,1.0601365566253662,50093
930954,100000,1.0,1.77016282081604,100112
930954,200000,1.0,2.80804705619812,200094
930954,300000,1.0,3.9530327320098877,300029
930954,500000,1.0,6.172461748123169,500038
1158847,500,0.2,0.18948578834533691,583
1158847,1000,0.2,0.21861815452575684,1072
1158847,3000,0.26666666666666666,0.27882814407348633,3064
1158847,5000,0.3,0.3092334270477295,5056
1158847,10000,0.3,0.3989250659942627,10087
1158847,50000,0.5,1.1562561988830566,50086
1158847,100000,0.6,1.7730388641357422,100170
1158847,200000,0.7333333333333333,2.714959144592285,200108
1158847,300000,0.9,3.953892707824707,300126
1158847,500000,0.9666666666666667,6.692005634307861,500064
1172868,500,0.06666666666666667,0.22143959999084473,521
1172868,1000,0.1,0.22174429893493652,1087
1172868,3000,0.2,0.31595420837402344,3132
1172868,5000,0.3333333333333333,0.3465077877044678,5067
1172868,10000,0.5,0.437793493270874,10004
1172868,50000,0.7666666666666667,1.3009541034698486,50028
1172868,100000,0.7666666666666667,2.091144561767578,100066
1172868,200000,0.9333333333333333,3.678199291229248,200022
1172868,300000,0.9666666666666667,4.963961362838745,300002
1172868,500000,1.0,7.1517791748046875,500040
1265894,500,0.03333333333333333,0.12312650680541992,509
1265894,1000,0.1,0.21601057052612305,1056
1265894,3000,0.13333333333333333,0.36147308349609375,3095
1265894,5000,0.3,0.44475769996643066,5092
1265894,10000,0.3333333333333333,0.5364573001861572,10042
1265894,50000,0.7333333333333333,1.3449406623840332,50017
1265894,100000,0.8333333333333334,1.991809368133545,100005
1265894,200000,0.9666666666666667,3.379014492034912,200005
1265894,300000,0.9666666666666667,4.561119794845581,300099
1265894,500000,1.0,6.530566215515137,500013
1323044,500,0.26666666666666666,0.17934083938598633,552
1323044,1000,0.3,0.20659852027893066,1090
1323044,3000,0.7,0.32439637184143066,3174
1323044,5000,0.8333333333333334,0.37871646881103516,5130
1323044,10000,0.8333333333333334,0.5156865119934082,10188
1323044,50000,0.9333333333333333,1.2624962329864502,50107
1323044,100000,0.9666666666666667,1.948498249053955,100060
1323044,200000,1.0,3.2680702209472656,200081
1323044,300000,1.0,4.6112377643585205,300004
1323044,500000,1.0,6.530104160308838,500013
1379373,500,0.16666666666666666,0.1745319366455078,636
1379373,1000,0.2,0.2610499858856201,1066
